IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,IMF15,IMFRS
13.83711867,-2.489485697,-0.646669714,0.409173047,0.172960125,-0.110624428,0.318439206,-0.06535152,0.12743728,0.178473119,0.092389401,-0.020708469,-0.017125483,-0.02231739,-0.007925178,0.124217028
13.83480203,-2.487430037,-0.629177438,0.389221685,0.082743348,-0.016921495,-0.01320782,-0.002927602,-0.126114211,-0.229654213,-0.158757086,0.06441121,0.045553588,0.067208568,0.025820725,0.034428748
13.83205402,-2.481336043,-0.591882118,0.342320713,-0.045561634,0.098216015,-0.32465637,0.090647709,-0.119918261,-0.111113275,0.027392307,-0.09101608,-0.050380429,-0.10542046,-0.042629792,-0.126716304
13.83072331,-2.469262626,-0.533121484,0.254361192,-0.142306646,0.13961258,-0.292375645,0.096752771,0.124839902,0.270414753,0.13862711,0.070465774,0.025403646,0.130724307,0.055828115,0.199312942
13.82652183,-2.455520136,-0.458993242,0.104596411,-0.16633572,0.058372364,0.034494221,-0.054805935,0.104004972,0.023089311,-0.139679563,0.002465577,0.01597271,-0.140954523,-0.064237406,0.021009126
13.82214531,-2.43723106,-0.367372569,-0.101788588,-0.10072293,-0.074346492,0.327064837,-0.163210906,-0.107970775,-0.275328592,-0.015094326,-0.081545387,-0.040839932,0.143875365,0.0728142,-0.290448159
13.82245989,-2.409268557,-0.253980979,-0.33602287,0.027970177,-0.138178529,0.294964175,-0.028132762,-0.083548906,0.068497844,0.146707326,0.113325825,0.029552991,-0.144820364,-0.085133971,-0.13439129
13.8261479,-2.372853131,-0.123121877,-0.561716003,0.1444112,-0.0876408,-0.047345034,0.172443659,0.075209068,0.241240383,-0.123843274,-0.083521205,0.002967509,0.137040672,0.096611977,-0.306031045
13.83546072,-2.325621233,0.023580131,-0.726809106,0.180641188,0.029462169,-0.360102153,0.124782378,0.059445216,-0.148694329,-0.029182286,-0.001298749,-0.037949535,-0.121985832,-0.110482761,-0.341245813
13.85141979,-2.266515442,0.181610426,-0.782115941,0.107169623,0.107899125,-0.320020588,-0.138592411,-0.054090129,-0.199717851,0.13801354,0.085611192,0.041343019,0.089088,0.119826812,-0.360929162
13.87470531,-2.194909031,0.344445749,-0.694650938,-0.04721438,0.076993142,0.045576196,-0.23007809,-0.04964081,0.208372956,-0.10660597,-0.130745594,-0.014379585,-0.045281961,-0.130830336,-0.505756659
13.90730699,-2.108956498,0.505425541,-0.458134761,-0.205128215,-0.036400371,0.370828659,0.022728969,0.017922239,0.130805336,-0.037781645,0.08956827,-0.042961092,-0.018610306,0.134153896,-0.370767007
13.94712746,-2.011131482,0.651508857,-0.108141553,-0.288527699,-0.140909774,0.303782436,0.254143437,0.014488691,-0.278048398,0.120585315,0.001974745,0.083527857,0.084809665,-0.13972064,-0.195468915
13.99069527,-1.905444588,0.767283339,0.28628168,-0.252267616,-0.148536788,-0.106737601,0.094792395,-0.000415049,-0.045589506,-0.077987022,-0.104183308,-0.087110479,-0.153060338,0.141533477,0.020746137
14.03378119,-1.796736531,0.837296593,0.639012621,-0.103729659,-0.042325625,-0.43054641,-0.23194479,0.01141454,0.321422255,-0.034045774,0.149874751,0.039803103,0.212329848,-0.14131388,0.235707771
14.0729604,-1.688992952,0.849643929,0.870289939,0.102459397,0.11029478,-0.296231747,-0.209761923,-0.01355159,-0.06754298,0.104600685,-0.094356532,0.048996132,-0.248665314,0.143014353,0.116843426
14.10917453,-1.581686871,0.801088641,0.930459341,0.289584052,0.206280262,0.192418321,0.165689789,-0.023606879,-0.3177284,-0.059411767,-0.026994838,-0.132174132,0.259965016,-0.142951461,0.329894393
14.13880293,-1.478891578,0.68695303,0.79860716,0.372108006,0.161889096,0.509432238,0.310170504,0.029414235,0.196947256,-0.043007145,0.138821129,0.165958926,-0.239655838,0.144123442,0.608326606
14.15742606,-1.385375425,0.506451858,0.49575456,0.303227172,-0.005396108,0.283700206,-0.028671699,0.050335223,0.280220102,0.1074976,-0.146968112,-0.107536194,0.201123949,-0.135281615,0.423492419
14.16782079,-1.298355445,0.272912681,0.095117436,0.116276164,-0.160190225,-0.249704518,-0.318703386,-0.010448453,-0.300785503,-0.033888754,0.070242098,-0.006260982,-0.129949568,0.12916436,0.156753302
14.17520138,-1.212387896,0.0072315,-0.302909813,-0.100106558,-0.168148356,-0.504077941,-0.088707531,-0.053287946,-0.18278169,-0.078256723,0.054162685,0.13642871,0.038857049,-0.119582803,-0.101634067
14.18399837,-1.122793291,-0.268272339,-0.603527747,-0.254656854,-0.024012493,-0.201459161,0.292646006,-0.00344807,0.38763069,0.09202452,-0.150437029,-0.2235228,0.062708908,0.106018471,-0.072897185
14.19433353,-1.029325924,-0.535856629,-0.746847977,-0.299991883,0.134717031,0.311962818,0.19280879,0.047392634,0.035610208,0.000105923,0.147330089,0.214965043,-0.167830217,-0.091315207,-0.108058223
14.20737221,-0.930704207,-0.777045215,-0.71243883,-0.23482433,0.161894488,0.468936992,-0.236351981,0.015132843,-0.426485604,-0.087343516,-0.041425933,-0.102401014,0.264211684,0.075131021,-0.443658612
14.22832821,-0.821576844,-0.970435251,-0.518229395,-0.091994292,0.035975719,0.109612563,-0.288522962,-0.043748737,0.13758246,0.064608855,-0.105088766,-0.080384844,-0.345749563,-0.06362333,-0.366753826
14.2558629,-0.7034126,-1.105843217,-0.230676807,0.058977414,-0.143947453,-0.379082938,0.11884575,-0.052897443,0.371404305,0.010515166,0.166674267,0.236779334,0.385697249,0.046304691,-0.035200623
14.28551271,-0.580964003,-1.180492239,0.060702718,0.152261308,-0.228832027,-0.472201211,0.32237673,0.022665821,-0.308694955,-0.062038792,-0.104745136,-0.295939902,-0.377700549,-0.025835876,-0.356074595
14.32084775,-0.45083143,-1.185693415,0.285327042,0.172837991,-0.122299292,-0.049268563,0.009117731,0.094528555,-0.23639927,0.052507011,-0.029832775,0.223093715,0.316308323,-0.000692104,-0.129551265
14.35944059,-0.315771411,-1.123536507,0.389584225,0.12889012,0.099839024,0.431729496,-0.323888261,-0.01839054,0.405170285,-0.019910935,0.121015729,-0.054976824,-0.214775348,0.0270723,-0.211491945
14.40190019,-0.175520869,-0.996626447,0.361002617,0.051437904,0.255674913,0.442693204,-0.144458053,-0.141724121,0.056651333,-0.018151171,-0.110095365,-0.140571916,0.082322,-0.05551853,-0.129015694
14.44587802,-0.032904626,-0.814827388,0.220813835,-0.033653838,0.197066228,-0.043241629,0.258717702,0.001671903,-0.436224192,0.042593366,0.01066916,0.270849172,0.057245939,0.079790329,0.37555602
14.48427881,0.104420599,-0.596065873,0.015677127,-0.111812309,-0.05265995,-0.50282265,0.243417139,0.182233152,0.133782744,-0.047844479,0.088203253,-0.276248898,-0.182029022,-0.095209342,0.112679703
14.51909364,0.238165879,-0.348522899,-0.174994643,-0.149879234,-0.273277084,-0.397625175,-0.136370185,0.037469715,0.407823012,0.040566049,-0.08489009,0.170300752,0.28658961,0.107877342,0.357673316
14.54852235,0.366351993,-0.084528881,-0.279720786,-0.126058353,-0.254676642,0.182492018,-0.272830993,-0.212453743,-0.316161926,0.016138581,-0.003741003,0.003417204,-0.3536469,-0.111375477,-0.101727446
14.57985513,0.496404162,0.19446726,-0.240990827,-0.025031796,0.02763484,0.60684903,0.041662142,-0.051983123,-0.27473395,-0.076733138,0.101747812,-0.155773984,0.386094618,0.111531222,-0.690999401
14.62453608,0.639953414,0.490539818,-0.046417217,0.127861881,0.347164587,0.37050946,0.27739576,0.244252747,0.444566734,0.067393846,-0.118356312,0.211571758,-0.393018691,-0.117855526,-0.920098339
14.68357182,0.797622008,0.789062352,0.235873111,0.232837361,0.367320674,-0.354060582,0.000436609,0.015009471,0.028564011,-0.028700359,-0.02379617,-0.194781371,0.342838753,0.106037834,0.502164476
14.73675744,0.948140574,1.047866622,0.465859037,0.164425615,-0.04096838,-0.821416131,-0.362467605,-0.332862368,-0.494764681,-0.068987016,0.179723413,0.109566313,-0.24844177,-0.080702495,0.098271433
14.78715987,1.094002926,1.253681467,0.547188096,-0.054967976,-0.528104921,-0.387246638,-0.088208701,0.058519298,0.292859296,0.189474343,-0.145614668,0.035120414,0.141306309,0.05460257,-0.049771687
